CallID,ClientID,Transcript,CallDate,TimeSpent,AgentName,FunnelStep,SentimentScore,Resolved,InteractionIntent,PreviousContactCount,AgentPerformanceScore,CampaignSent,NextBestAction
P001,C040,I love the support team!,5/1/2024,50,Sam,application complete,0.13,Yes,Cancel Request,5,1.05,No,Phone Call
P002,C003,I love the support team!,5/3/2024,122,Jordan,application start,0.93,Yes,Cancel Request,4,1.4,Yes,Escalate
P003,C033,I might cancel soon.,5/5/2024,263,Alex,application abandon,0.26,Yes,Cancel Request,2,1.11,No,Survey
P004,C030,I love the support team!,5/7/2024,530,Alex,application abandon,0.87,Yes,Billing,5,3.18,Yes,Survey
P005,C046,I love the support team!,5/9/2024,58,Casey,application educate,0.78,Yes,Product Info,4,4.65,No,Survey
P006,C025,I'm not happy with the service.,5/11/2024,534,Casey,application submit,0.32,Yes,Feedback,4,3.15,No,Escalate
P007,C035,I'm not happy with the service.,5/13/2024,136,Alex,application educate,0.47,No,Cancel Request,0,1.27,Yes,Offer
P008,C030,I might cancel soon.,5/15/2024,356,Casey,application complete,-0.88,No,Technical Support,1,3.45,Yes,Survey
P009,C028,I'm not happy with the service.,5/17/2024,217,Casey,application abandon,-0.76,No,Product Info,0,4.02,No,Escalate
P010,C080,Is there a better plan?,5/19/2024,166,Jordan,application complete,-0.39,No,Technical Support,5,4.68,No,Survey
P011,C028,Everything is fine.,5/21/2024,127,Sam,application submit,-0.1,No,Product Info,4,2.25,Yes,Phone Call
P012,C022,I might cancel soon.,5/23/2024,571,Jordan,application start,0.73,No,Technical Support,2,1.99,No,Escalate
P013,C076,I might cancel soon.,5/25/2024,339,Jordan,application complete,0.11,No,Technical Support,1,4.77,No,SMS
P014,C014,Everything is fine.,5/27/2024,586,Morgan,application abandon,-0.33,Yes,Product Info,2,3.94,No,SMS
P015,C091,I'm not happy with the service.,5/29/2024,64,Sam,application start,-0.86,Yes,Billing,0,2.76,Yes,Escalate
P016,C094,Everything is fine.,5/31/2024,99,Sam,application abandon,0.18,No,Billing,0,3.04,No,Offer
P017,C005,I might cancel soon.,6/2/2024,434,Taylor,application educate,0.4,No,Cancel Request,4,3.93,Yes,Phone Call
P018,C064,Is there a better plan?,6/4/2024,328,Casey,application complete,-0.68,No,Billing,1,2.01,Yes,Escalate
P019,C012,I might cancel soon.,6/6/2024,87,Jordan,application start,-0.38,No,Billing,4,1.16,Yes,SMS
P020,C094,I'm not happy with the service.,6/8/2024,351,Taylor,application abandon,-0.44,Yes,Technical Support,0,3.98,Yes,SMS
P021,C065,Is there a better plan?,6/10/2024,431,Casey,application submit,0.9,Yes,Billing,2,3.76,Yes,Survey
P022,C072,I'm not happy with the service.,6/12/2024,33,Morgan,application abandon,0.2,No,Product Info,3,1.7,Yes,Survey
P023,C032,Is there a better plan?,6/14/2024,118,Sam,application educate,1,Yes,Cancel Request,4,4.32,No,Phone Call
P024,C050,I'm not happy with the service.,6/16/2024,467,Jordan,application abandon,-0.25,No,Feedback,1,4.97,Yes,Phone Call
P025,C057,I love the support team!,6/18/2024,474,Morgan,application complete,-0.6,No,Technical Support,2,3.02,No,Offer
P026,C042,I might cancel soon.,6/20/2024,484,Taylor,application submit,0.18,No,Billing,0,3.16,No,Survey
P027,C039,I love the support team!,6/22/2024,528,Casey,application start,-0.89,No,Product Info,1,4.4,No,Offer
P028,C031,I might cancel soon.,6/24/2024,527,Casey,application start,0.21,Yes,Product Info,1,1.37,No,SMS
P029,C039,I'm not happy with the service.,6/26/2024,232,Taylor,application start,-0.07,No,Feedback,2,1.81,No,Survey
P030,C057,I'm not happy with the service.,6/28/2024,212,Alex,application educate,-0.53,Yes,Billing,0,2.92,No,Survey
P031,C013,Everything is fine.,6/30/2024,393,Sam,application abandon,-0.82,Yes,Technical Support,0,4.41,No,Escalate
